UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Coal Generation (MW),Gas Generation (MW),Hydro Generation (MW),Multiple Fuels Generation (MW),Nuclear Generation (MW),Oil Generation (MW),Other Renewables Generation (MW),Solar Generation (MW),Storage Generation (MW),Wind Generation (MW)
1/1/2025 6:00,1/1/2025 0:00,1/1/2025 1:00,1/1/2025,1,86536,13826,29315,784,3,33860,184,670,0,0,7894
1/1/2025 7:00,1/1/2025 1:00,1/1/2025 2:00,1/1/2025,2,87004,14020,29393,717,3,33872,186,663,0,0,8150
1/1/2025 8:00,1/1/2025 2:00,1/1/2025 3:00,1/1/2025,3,86011,13998,28220,626,3,33869,187,660,0,0,8448
1/1/2025 9:00,1/1/2025 3:00,1/1/2025 4:00,1/1/2025,4,85696,13965,28063,596,3,33870,190,680,0,0,8329
1/1/2025 10:00,1/1/2025 4:00,1/1/2025 5:00,1/1/2025,5,85688,14007,28194,621,3,33869,190,693,0,0,8111
1/1/2025 11:00,1/1/2025 5:00,1/1/2025 6:00,1/1/2025,6,86053,14002,28551,608,3,33871,190,698,0,0,8130
1/1/2025 12:00,1/1/2025 6:00,1/1/2025 7:00,1/1/2025,7,86526,13988,28465,1013,3,33870,190,692,0,0,8305
1/1/2025 13:00,1/1/2025 7:00,1/1/2025 8:00,1/1/2025,8,87893,14088,29841,996,3,33869,191,690,37,0,8178
1/1/2025 14:00,1/1/2025 8:00,1/1/2025 9:00,1/1/2025,9,89296,14104,29902,998,3,33861,190,691,1331,0,8216
1/1/2025 15:00,1/1/2025 9:00,1/1/2025 10:00,1/1/2025,10,89907,13967,28153,842,3,33866,188,688,3501,0,8699
1/1/2025 16:00,1/1/2025 10:00,1/1/2025 11:00,1/1/2025,11,91602,14081,28745,834,3,33866,187,686,4061,0,9139
1/1/2025 17:00,1/1/2025 11:00,1/1/2025 12:00,1/1/2025,12,93947,14300,30542,888,3,33859,186,680,4058,0,9431
1/1/2025 18:00,1/1/2025 12:00,1/1/2025 13:00,1/1/2025,13,95470,14815,31642,877,3,33864,185,667,4107,0,9310
1/1/2025 19:00,1/1/2025 13:00,1/1/2025 14:00,1/1/2025,14,95058,14869,30681,1051,3,33859,183,679,4245,0,9488
1/1/2025 20:00,1/1/2025 14:00,1/1/2025 15:00,1/1/2025,15,94796,14702,30356,1155,3,33867,182,690,4171,0,9670
1/1/2025 21:00,1/1/2025 15:00,1/1/2025 16:00,1/1/2025,16,94856,14565,31211,1502,83,33879,181,687,3153,0,9595
1/1/2025 22:00,1/1/2025 16:00,1/1/2025 17:00,1/1/2025,17,97582,14684,35586,2368,177,33876,181,684,821,0,9205
1/1/2025 23:00,1/1/2025 17:00,1/1/2025 18:00,1/1/2025,18,102633,15852,39236,4168,370,33880,180,690,7,5,8245
1/2/2025 0:00,1/1/2025 18:00,1/1/2025 19:00,1/1/2025,19,104310,16755,40680,3746,368,33885,179,685,5,9,7998
1/2/2025 1:00,1/1/2025 19:00,1/1/2025 20:00,1/1/2025,20,104114,17016,40869,3355,375,33888,178,683,5,10,7735
1/2/2025 2:00,1/1/2025 20:00,1/1/2025 21:00,1/1/2025,21,102710,17723,40157,2200,377,33892,179,684,5,9,7484
1/2/2025 3:00,1/1/2025 21:00,1/1/2025 22:00,1/1/2025,22,100955,17628,39543,1622,378,33901,180,684,0,1,7018
1/2/2025 4:00,1/1/2025 22:00,1/1/2025 23:00,1/1/2025,23,98438,17294,38434,1095,213,33907,181,671,0,0,6643
1/2/2025 5:00,1/1/2025 23:00,1/2/2025 0:00,1/1/2025,24,95630,16572,37218,973,32,33918,182,662,0,0,6073
1/2/2025 6:00,1/2/2025 0:00,1/2/2025 1:00,1/2/2025,1,94697,15942,37977,687,3,33907,184,667,0,0,5330
1/2/2025 7:00,1/2/2025 1:00,1/2/2025 2:00,1/2/2025,2,94187,16148,37868,625,3,33908,188,665,0,0,4782
1/2/2025 8:00,1/2/2025 2:00,1/2/2025 3:00,1/2/2025,3,94599,16285,38144,606,3,33908,190,668,0,0,4795
1/2/2025 9:00,1/2/2025 3:00,1/2/2025 4:00,1/2/2025,4,94975,16549,38226,617,3,33909,192,664,0,0,4815
1/2/2025 10:00,1/2/2025 4:00,1/2/2025 5:00,1/2/2025,5,94543,16732,37889,653,12,33908,194,668,0,0,4487
1/2/2025 11:00,1/2/2025 5:00,1/2/2025 6:00,1/2/2025,6,97145,17350,39659,775,186,33916,194,664,0,0,4401
1/2/2025 12:00,1/2/2025 6:00,1/2/2025 7:00,1/2/2025,7,102050,18416,41495,2681,179,33914,194,664,0,7,4500
1/2/2025 13:00,1/2/2025 7:00,1/2/2025 8:00,1/2/2025,8,106963,19784,42862,4666,192,33912,203,665,48,10,4621
1/2/2025 14:00,1/2/2025 8:00,1/2/2025 9:00,1/2/2025,9,109030,21260,43116,3779,189,33914,210,671,1499,1,4391
1/2/2025 15:00,1/2/2025 9:00,1/2/2025 10:00,1/2/2025,10,108098,20955,42200,1695,189,33906,192,663,4314,0,3984
1/2/2025 16:00,1/2/2025 10:00,1/2/2025 11:00,1/2/2025,11,107588,20873,41845,1099,185,33905,192,662,5257,0,3570
1/2/2025 17:00,1/2/2025 11:00,1/2/2025 12:00,1/2/2025,12,106710,20123,41359,947,83,33897,191,657,5787,0,3666
1/2/2025 18:00,1/2/2025 12:00,1/2/2025 13:00,1/2/2025,13,106458,19922,41278,1009,3,33891,194,661,5972,0,3528
1/2/2025 19:00,1/2/2025 13:00,1/2/2025 14:00,1/2/2025,14,106480,20315,41145,925,3,33891,190,666,5934,0,3411
1/2/2025 20:00,1/2/2025 14:00,1/2/2025 15:00,1/2/2025,15,106466,20309,41226,1148,2,33890,182,681,5758,0,3270
1/2/2025 21:00,1/2/2025 15:00,1/2/2025 16:00,1/2/2025,16,105636,20274,41646,1348,136,33887,212,676,4602,0,2855
1/2/2025 22:00,1/2/2025 16:00,1/2/2025 17:00,1/2/2025,17,106469,20757,43844,2657,366,33890,200,677,1610,0,2468
1/2/2025 23:00,1/2/2025 17:00,1/2/2025 18:00,1/2/2025,18,110910,21982,46604,4816,375,33901,305,682,48,8,2189
1/3/2025 0:00,1/2/2025 18:00,1/2/2025 19:00,1/2/2025,19,112922,22414,47890,4883,368,33913,576,685,3,9,2181
1/3/2025 1:00,1/2/2025 19:00,1/2/2025 20:00,1/2/2025,20,112769,22043,47924,4745,378,33910,579,669,0,1,2520
1/3/2025 2:00,1/2/2025 20:00,1/2/2025 21:00,1/2/2025,21,112422,22343,47509,4203,380,33909,550,666,0,0,2862
1/3/2025 3:00,1/2/2025 21:00,1/2/2025 22:00,1/2/2025,22,109120,22184,45579,2490,376,33912,514,661,0,0,3404
1/3/2025 4:00,1/2/2025 22:00,1/2/2025 23:00,1/2/2025,23,105770,21876,43786,1095,68,33916,195,666,0,0,4168
1/3/2025 5:00,1/2/2025 23:00,1/3/2025 0:00,1/2/2025,24,102868,21381,41199,792,1,33926,184,664,0,0,4721
1/3/2025 6:00,1/3/2025 0:00,1/3/2025 1:00,1/3/2025,1,100929,20300,39132,832,1,33925,182,654,0,0,5903
